CONTRACT_NC_ID	CONTRACT_EXPECTED_CODE	CATALOG_ID(s)	CATALOG_OBSERVED_CODE	IMPLEMENTATION_SUBCODE_TO_CONTRACT_CODE	COVERAGE	METHOD_OR_NOTE
NC01	FAIL_SOURCE_PIN			FAIL_SOURCE_BASELINE_PIN;FAIL_PIN_MISMATCH -> FAIL_SOURCE_PIN	MISSING	dedicated contract control still needed
NC02	FAIL_FORMULA_ID			FAIL_ORDINARY_FORMULA_ID_PIN;FAIL_DUFFY_FORMULA_ID_PIN -> FAIL_FORMULA_ID	MISSING	
NC03	FAIL_ROUTE_QUANTITY_CLASS			FAIL_FLAMBDA_QUANTITY;FAIL_ROUTE_FRAGMENT_QUANTITY -> FAIL_ROUTE_QUANTITY_CLASS	MISSING	
NC04	FAIL_TUBE_GEOMETRY_RECONSTRUCTION	CANONICAL_V1_NC04	FAIL_TUBE_GEOMETRY_RECONSTRUCTION	identity	COVERED	
NC05	FAIL_LAMBDA_COVER	CANONICAL_V1_NC19	FAIL_LAMBDA_GEOMETRY_RECONSTRUCTION	FAIL_LAMBDA_GEOMETRY_RECONSTRUCTION -> FAIL_LAMBDA_COVER (scope differs)	PARTIAL	dedicated gap control required
NC06	FAIL_LAMBDA_COVER	CANONICAL_V1_NC19	FAIL_LAMBDA_GEOMETRY_RECONSTRUCTION	FAIL_LAMBDA_GEOMETRY_RECONSTRUCTION -> FAIL_LAMBDA_COVER (scope differs)	PARTIAL	dedicated overlap control required
NC07	FAIL_LAMBDA_TILING			FAIL_TILE_WIDTH/FAIL_PARENT_WIDTH candidates -> FAIL_LAMBDA_TILING	MISSING	
NC08	FAIL_WRONG_ANCHOR_ENDPOINT			FAIL_ANCHOR_SIDE_DERIVATION -> FAIL_WRONG_ANCHOR_ENDPOINT	MISSING	
NC09	FAIL_WRONG_ANCHOR_ENDPOINT			FAIL_ANCHOR_SIDE_DERIVATION -> FAIL_WRONG_ANCHOR_ENDPOINT	MISSING	
NC10	FAIL_SIGN	REPLAY_NC10_WRONG_SIGN_REQUEST	FAIL_SIGN_CONTRACT	request-side replay is distinct; result-side FAIL_SIGN still required	PARTIAL	keep replay control separate; needs numerics or permitted receipt mutation
